ENSG00000213051.3
ENSG00000182004.13
ENSG00000200408.1
ENSG00000228929.1
ENSG00000236327.2
ENSG00000143333.7
ENSG00000143337.19
ENSG00000220323.4
ENSG00000225158.2
ENSG00000173285.5
ENSG00000215866.8
ENSG00000231073.1
ENSG00000271644.1
ENSG00000233099.1
ENSG00000065526.12
ENSG00000227243.3
ENSG00000223344.1
ENSG00000212144.1
ENSG00000252552.1
ENSG00000162727.3
ENSG00000224311.1
ENSG00000199442.1
ENSG00000225079.2
ENSG00000121481.11
ENSG00000228229.2
ENSG00000186517.14
ENSG00000273198.1
ENSG00000133216.17
ENSG00000229052.2
ENSG00000273933.1
ENSG00000225630.1
ENSG00000225222.2
ENSG00000232037.3
ENSG00000185495.10
ENSG00000212398.1
ENSG00000177489.1
ENSG00000283377.1
ENSG00000116882.15
ENSG00000142621.20
ENSG00000219481.10
ENSG00000143442.22
ENSG00000233819.1
ENSG00000153923.10
ENSG00000272715.1
ENSG00000244066.3
ENSG00000180708.6
ENSG00000232296.1
ENSG00000279928.2
ENSG00000284808.1
ENSG00000157330.10
ENSG00000237503.2
ENSG00000266110.1
ENSG00000231510.1
ENSG00000158748.4
ENSG00000233396.8
ENSG00000143772.10
ENSG00000116560.11
ENSG00000158793.14
ENSG00000235386.1
ENSG00000143318.13
ENSG00000234711.1
ENSG00000243905.3
ENSG00000143158.11
ENSG00000260855.1
ENSG00000116809.12
ENSG00000284739.1
ENSG00000117114.20
ENSG00000136628.18
ENSG00000163874.11
ENSG00000143195.13
ENSG00000163352.5
ENSG00000234678.2
ENSG00000230953.2
ENSG00000240038.7
ENSG00000137962.13
ENSG00000143420.19
ENSG00000143368.10
ENSG00000287315.1
ENSG00000204138.13
ENSG00000229388.1
ENSG00000163206.6
ENSG00000263841.2
ENSG00000143228.13
ENSG00000198756.12
ENSG00000226375.1
ENSG00000223989.1
ENSG00000237980.2
ENSG00000284692.2
ENSG00000271427.1
ENSG00000143028.9
ENSG00000225446.3
ENSG00000215906.8
ENSG00000279096.2
ENSG00000259815.1
ENSG00000272262.1
ENSG00000260360.1
ENSG00000223382.5
ENSG00000238653.1
ENSG00000228347.1
ENSG00000175130.7
ENSG00000132718.9
ENSG00000081026.19
ENSG00000232879.2
ENSG00000143641.10
ENSG00000226026.6
ENSG00000236065.2
ENSG00000162624.15
ENSG00000224326.1
ENSG00000231814.3
ENSG00000203943.9
ENSG00000090020.11
ENSG00000215869.4
ENSG00000233337.1
ENSG00000186973.11
ENSG00000116237.16
ENSG00000183298.5
ENSG00000223229.1
ENSG00000240219.1
ENSG00000117450.15
ENSG00000186501.15
ENSG00000285649.1
ENSG00000116350.17
ENSG00000227994.1
ENSG00000116251.11
ENSG00000197852.12
ENSG00000199831.1
ENSG00000226036.1
ENSG00000232480.1
ENSG00000287396.1
ENSG00000284744.1
ENSG00000187223.4
ENSG00000142677.4
ENSG00000238173.1
ENSG00000201801.1
ENSG00000187147.18
ENSG00000236528.1
ENSG00000160050.16
ENSG00000237390.1
ENSG00000287582.1
ENSG00000178028.14
ENSG00000143155.13
ENSG00000202263.1
ENSG00000088035.18
ENSG00000198842.10
ENSG00000215704.10
ENSG00000158481.13
ENSG00000224800.1
ENSG00000057468.7
ENSG00000225905.1
ENSG00000271036.1
ENSG00000272654.1
ENSG00000286572.1
ENSG00000228971.3
ENSG00000231199.2
ENSG00000078618.22
ENSG00000286747.1
ENSG00000236040.1
ENSG00000260948.1
ENSG00000131238.18
ENSG00000237845.1
ENSG00000179930.6
ENSG00000143190.23
ENSG00000229652.1
ENSG00000226945.1
ENSG00000272971.1
ENSG00000227181.1
ENSG00000287808.1
ENSG00000223649.1
ENSG00000007908.16
ENSG00000159023.22
ENSG00000228288.7
ENSG00000285638.1
ENSG00000222240.1
ENSG00000143184.5
ENSG00000271383.8
ENSG00000286071.1
ENSG00000236407.1
ENSG00000178965.14
ENSG00000237853.6
ENSG00000143185.4
ENSG00000155366.17
ENSG00000229316.1
ENSG00000231529.2
ENSG00000226446.1
ENSG00000203878.11
ENSG00000232514.1
ENSG00000175143.5
ENSG00000250894.1
ENSG00000244137.1
ENSG00000231057.4
ENSG00000163472.19
ENSG00000227082.3
ENSG00000252357.1
ENSG00000226164.2
ENSG00000234264.1
ENSG00000234070.1
ENSG00000286061.1
ENSG00000234142.2
ENSG00000117394.24
ENSG00000225643.1
ENSG00000286692.1
ENSG00000252578.1
ENSG00000228105.2
ENSG00000230318.2
ENSG00000242396.1
ENSG00000237279.2
ENSG00000116649.10
ENSG00000018625.15
ENSG00000225972.1
ENSG00000175262.14
ENSG00000235700.1
ENSG00000177770.11
ENSG00000224278.1
ENSG00000082512.15
ENSG00000272088.1
ENSG00000234761.1
ENSG00000238081.1
ENSG00000066279.19
ENSG00000261196.1
ENSG00000232185.1
ENSG00000285374.1
ENSG00000159189.12
ENSG00000230489.1
ENSG00000285201.1
ENSG00000026751.17
ENSG00000196581.11
ENSG00000266150.1
ENSG00000233485.1
ENSG00000270282.1
ENSG00000131236.18
ENSG00000272106.1
ENSG00000162763.4
ENSG00000278099.1
ENSG00000162383.13
ENSG00000226754.2
ENSG00000284694.1
ENSG00000264101.1
ENSG00000249087.7
ENSG00000233562.1
ENSG00000154309.9
ENSG00000163393.13
ENSG00000235777.1
ENSG00000134222.16
ENSG00000273026.1
ENSG00000235251.2
ENSG00000285981.1
ENSG00000174606.14
ENSG00000227006.2
ENSG00000284642.1
ENSG00000143390.18
ENSG00000275075.1
ENSG00000116726.5
ENSG00000251977.1
ENSG00000199756.1
ENSG00000286391.1
ENSG00000135778.12
ENSG00000132879.14
ENSG00000116830.12
ENSG00000186510.12
ENSG00000229509.1
ENSG00000162757.4
ENSG00000230005.2
ENSG00000276674.1
ENSG00000067606.17
ENSG00000213421.4
ENSG00000160789.24
ENSG00000197989.14
ENSG00000116747.13
ENSG00000058799.15
ENSG00000235303.1
ENSG00000116991.11
ENSG00000188529.15
ENSG00000285604.1
ENSG00000142794.19
ENSG00000284237.1
ENSG00000126106.14
ENSG00000170989.10
ENSG00000282887.2
ENSG00000143457.11
ENSG00000116871.16
ENSG00000287338.1
ENSG00000176444.19
ENSG00000037637.11
ENSG00000134697.13
ENSG00000157978.12
ENSG00000204505.5
ENSG00000162923.17
ENSG00000226780.1
ENSG00000226526.1
ENSG00000236484.2
ENSG00000196418.13
ENSG00000179403.12
ENSG00000233482.1
ENSG00000225122.1
ENSG00000229021.2
ENSG00000271387.1
ENSG00000252086.1
ENSG00000162687.19
ENSG00000268663.1
ENSG00000187701.5
ENSG00000169241.19
ENSG00000142949.17
ENSG00000278572.1
ENSG00000225675.2
ENSG00000234998.1
ENSG00000181036.14
ENSG00000227953.7
ENSG00000276442.1
ENSG00000184260.6
ENSG00000081692.13
ENSG00000185155.12
ENSG00000041988.15
ENSG00000224335.2
ENSG00000260464.1
ENSG00000228086.1
ENSG00000286541.1
ENSG00000197241.4
ENSG00000272432.1
ENSG00000182783.6
ENSG00000177462.9
ENSG00000228646.3
ENSG00000171735.19
ENSG00000242193.11
ENSG00000215873.2
ENSG00000173110.8
ENSG00000225904.1
ENSG00000225826.2
ENSG00000189181.5
ENSG00000117122.14
ENSG00000273367.1
ENSG00000229699.1
ENSG00000158786.5
ENSG00000284601.1
ENSG00000236035.2
ENSG00000224857.1
ENSG00000237008.2
ENSG00000237919.5
ENSG00000232959.1
ENSG00000223489.1
ENSG00000117505.13
ENSG00000286064.1
ENSG00000264613.2
ENSG00000288527.1
ENSG00000181218.5
ENSG00000143632.15
ENSG00000283039.1
ENSG00000282872.2
ENSG00000277617.1
ENSG00000188585.9
ENSG00000234790.1
ENSG00000175793.12
ENSG00000162728.5
ENSG00000236244.1
ENSG00000203685.10
ENSG00000207451.1
ENSG00000224340.1
ENSG00000163155.12
ENSG00000143443.10
ENSG00000285928.1
ENSG00000158156.9
ENSG00000134371.14
ENSG00000206654.1
ENSG00000143340.6
ENSG00000235595.1
ENSG00000136636.13
ENSG00000203897.4
ENSG00000226003.2
ENSG00000284645.1
ENSG00000274408.1
ENSG00000198912.12
ENSG00000275296.1
ENSG00000211454.15
ENSG00000162572.21
ENSG00000122180.5
ENSG00000230114.1
ENSG00000233542.2
ENSG00000132485.14
ENSG00000203761.5
ENSG00000137959.17
ENSG00000116906.13
ENSG00000123689.6
ENSG00000252105.1
ENSG00000268043.7
ENSG00000231424.3
ENSG00000225762.1
ENSG00000215835.2
ENSG00000261168.1
ENSG00000269621.1
ENSG00000120942.14
ENSG00000116885.18
ENSG00000134690.11
ENSG00000027644.5
ENSG00000241599.1
ENSG00000203965.13
ENSG00000286620.1
ENSG00000199565.1
ENSG00000117475.14
ENSG00000217327.3
ENSG00000227850.1
ENSG00000264128.2
ENSG00000197312.12
ENSG00000212610.2
ENSG00000200344.1
ENSG00000251837.1
ENSG00000227860.1
ENSG00000238063.3
ENSG00000288543.1
ENSG00000228336.2
ENSG00000233946.2
ENSG00000238198.2
ENSG00000158109.15
ENSG00000236950.1
ENSG00000173080.6
ENSG00000177151.5
ENSG00000286989.1
ENSG00000234496.2
ENSG00000206700.1
ENSG00000198799.12
ENSG00000231512.6
ENSG00000162378.13
ENSG00000233791.5
ENSG00000198128.4
ENSG00000154007.7
ENSG00000226960.1
ENSG00000143669.14
ENSG00000183929.7
ENSG00000284726.1
ENSG00000135829.17
ENSG00000233994.2
ENSG00000287064.1
ENSG00000235749.3
ENSG00000236439.4
ENSG00000288398.1
ENSG00000160685.13
ENSG00000196154.12
ENSG00000159658.15
ENSG00000231407.6
ENSG00000234441.1
ENSG00000224521.2
ENSG00000272371.1
ENSG00000234578.1
ENSG00000241666.2
ENSG00000198797.7
