pos	qual	count
0	A	3726
0	6	34
1	A	3752
1	6	8
2	A	3640
2	6	120
3	A	3730
3	6	30
4	A	3706
4	6	54
5	E	3510
5	A	200
5	6	48
5	<	2
6	E	3396
6	A	326
6	6	38
7	E	3476
7	A	260
7	6	24
8	A	3744
8	6	16
9	A	3738
9	6	22
10	A	3660
10	6	98
10	<	2
11	A	3684
11	6	76
12	A	3720
12	6	40
13	E	3572
13	A	168
13	6	20
14	E	3284
14	6	102
14	A	374
15	E	3480
15	6	36
15	A	244
