val	count
60.79	1
61.31	1
33.13	2
32.7	1
46.13	1
46.27	4
46.58	1
49.06	2
27.65	1
30.53	2
31.24	1
38.29	1
44.88	1
63.97	1
47.08	3
28.46	1
63.61	2
63.2	1
41.04	1
40.76	1
41.19	1
41.62	2
40.13	1
39.01	1
42.27	1
42.03	2
41.69	2
41.4	1
42.3	3
41.41	5
35.51	1
42.68	3
42.82	1
62.13	1
48.33	1
36.08	1
37.58	2
55.51	2
57.09	2
58.54	6
60.26	1
57.85	2
56.54	1
57.87	1
58.12	1
58.76	2
57.43	2
41.87	1
41.61	1
66.73	1
48.14	4
68.22	1
44.44	1
54.34	2
58.03	5
62.67	3
69.13	1
48.03	1
51.44	1
46.31	1
54.6	1
63.77	1
59.77	1
59.38	2
59.32	1
60.34	3
58.9	1
58.68	2
57.92	1
55.59	1
56.4	1
57.88	2
58.4	1
57.18	1
56.81	2
55.86	1
55.96	1
44.47	2
46.33	1
47.4	1
61.09	1
54.83	1
38.27	1
42.9	1
42.28	2
61.89	1
35.53	1
46.86	1
45.99	1
58.96	1
59.91	1
59.4	1
59.52	1
56.72	2
42.08	1
42.96	5
48.52	1
62.28	1
48.09	1
54.94	3
64.03	1
57.56	1
63.56	2
61.11	1
58.61	1
58.38	1
58.78	1
46.38	1
45.62	1
34.27	1
26.06	2
26.68	1
27.08	2
35.26	2
35.1	1
36.63	1
36.04	1
39.54	1
42.76	3
43.98	1
44.41	2
56.89	1
54.7	1
38.8	1
39.3	3
36.47	1
34.58	4
42.69	2
34.07	1
31.3	1
34.29	1
36.51	1
32.81	1
32.93	1
36.69	3
63.01	1
63.09	1
63.14	1
62.91	1
41.31	1
42.32	1
48.75	1
64.46	1
48.58	1
53.94	1
56.24	1
57.39	1
56.65	1
61.66	1
59.24	1
58.06	2
57.35	2
57.01	1
53.32	1
60.2	1
28.66	1
33.52	1
33.11	1
36.12	2
44.91	2
55.31	1
40.44	1
39.02	1
64.02	1
42.56	1
44.6	1
52.38	2
52.68	1
54.01	2
43.12	1
42.13	1
37.99	1
36.15	1
39.45	1
40.06	1
39.84	2
39.82	1
40.73	1
38.32	2
35.77	3
32.71	1
34.33	1
28.62	1
30.78	1
30.76	2
38.06	1
32.86	1
36.84	1
35.14	3
37.38	2
31.23	1
38.69	2
42.21	2
33.15	1
39.24	2
44.55	2
46.18	1
52.7	1
59.72	1
61.15	1
62.5	1
43.51	1
30.33	1
46.67	1
32.53	1
37.16	1
45.21	2
42.77	1
42.91	1
30.24	1
30.1	1
35.32	2
38.03	1
37.48	1
42.24	1
49.78	1
51.61	2
36.36	1
42.79	1
28.93	1
28.76	1
27.25	1
24.92	1
26.51	1
25.67	1
30.84	2
63.23	1
64.57	2
43.95	1
39.18	1
41.64	2
42.61	1
41.78	1
42.31	1
43.48	2
41.27	1
43.13	3
43.06	2
61.3	2
43.9	1
44.94	1
45.27	1
41.44	2
42.33	1
44.59	1
50.25	2
60.06	1
60.71	1
61.25	2
60.61	1
60.3	1
59.16	1
56.23	2
58.99	2
57.27	2
56.91	1
59.35	1
40.69	1
41.35	2
45.11	1
45.55	1
45.57	2
43.77	1
38.62	1
48.95	2
51.94	1
52.01	1
54.1	1
61.56	1
62.86	1
59.62	1
33.64	1
46.62	1
35.19	1
36.56	2
58.58	1
59.39	1
57.65	1
56.51	1
47.11	1
38.44	1
39.37	2
40.42	1
50.9	1
57.38	1
57.22	1
37.96	1
48.22	1
56.66	2
54.44	1
56.39	2
